layer_name,layer_type,total_cycles,compute_cycles,memory_access_cycles,data_movement_cycles,compute_intensity,operation_weight,buffer_requirement,energy_cost,is_compute_intensive,is_memory_intensive,communication_cost,parallelization_factor,gmacs_per_cycle,compute_efficiency,memory_efficiency,total_gmacs,execution_cost_breakdown
layer_10,PAD,25000,15000,8750,7500,1.7142857142857142,25000.0,1536,50000,True,False,1250,0.5,0.02,60.0,80.0,500,"{'compute_cost': 30000.0, 'memory_cost': 1024, 'communication_cost': 1250}"
layer_11,DEPTHWISE_CONV_2D,1000000,600000,350000,300000,1.7142857142857142,1000000.0,49152,2000000,True,False,50000,0.5,0.075,60.0,80.0,75000,"{'compute_cost': 1200000.0, 'memory_cost': 32768, 'communication_cost': 50000}"
layer_12,CONV_2D,2500000,1500000,875000,750000,1.7142857142857142,2500000.0,98304,5000000,True,False,125000,0.5,0.08,60.0,80.0,200000,"{'compute_cost': 3000000.0, 'memory_cost': 65536, 'communication_cost': 125000}"
layer_13,DEPTHWISE_CONV_2D,1000000,600000,350000,300000,1.7142857142857142,1000000.0,49152,2000000,True,False,50000,0.5,0.075,60.0,80.0,75000,"{'compute_cost': 1200000.0, 'memory_cost': 32768, 'communication_cost': 50000}"
layer_14,CONV_2D,2500000,1500000,875000,750000,1.7142857142857142,2500000.0,98304,5000000,True,False,125000,0.5,0.08,60.0,80.0,200000,"{'compute_cost': 3000000.0, 'memory_cost': 65536, 'communication_cost': 125000}"
layer_15,PAD,25000,15000,8750,7500,1.7142857142857142,25000.0,1536,50000,True,False,1250,0.5,0.02,60.0,80.0,500,"{'compute_cost': 30000.0, 'memory_cost': 1024, 'communication_cost': 1250}"
layer_16,DEPTHWISE_CONV_2D,1000000,600000,350000,300000,1.7142857142857142,1000000.0,49152,2000000,True,False,50000,0.5,0.075,60.0,80.0,75000,"{'compute_cost': 1200000.0, 'memory_cost': 32768, 'communication_cost': 50000}"
layer_17,CONV_2D,2500000,1500000,875000,750000,1.7142857142857142,2500000.0,98304,5000000,True,False,125000,0.5,0.08,60.0,80.0,200000,"{'compute_cost': 3000000.0, 'memory_cost': 65536, 'communication_cost': 125000}"
layer_18,DEPTHWISE_CONV_2D,1000000,600000,350000,300000,1.7142857142857142,1000000.0,49152,2000000,True,False,50000,0.5,0.075,60.0,80.0,75000,"{'compute_cost': 1200000.0, 'memory_cost': 32768, 'communication_cost': 50000}"
layer_19,CONV_2D,2500000,1500000,875000,750000,1.7142857142857142,2500000.0,98304,5000000,True,False,125000,0.5,0.08,60.0,80.0,200000,"{'compute_cost': 3000000.0, 'memory_cost': 65536, 'communication_cost': 125000}"
layer_20,DEPTHWISE_CONV_2D,1000000,600000,350000,300000,1.7142857142857142,1000000.0,49152,2000000,True,False,50000,0.5,0.075,60.0,80.0,75000,"{'compute_cost': 1200000.0, 'memory_cost': 32768, 'communication_cost': 50000}"
layer_21,CONV_2D,2500000,1500000,875000,750000,1.7142857142857142,2500000.0,98304,5000000,True,False,125000,0.5,0.08,60.0,80.0,200000,"{'compute_cost': 3000000.0, 'memory_cost': 65536, 'communication_cost': 125000}"
layer_22,DEPTHWISE_CONV_2D,1000000,600000,350000,300000,1.7142857142857142,1000000.0,49152,2000000,True,False,50000,0.5,0.075,60.0,80.0,75000,"{'compute_cost': 1200000.0, 'memory_cost': 32768, 'communication_cost': 50000}"
layer_23,CONV_2D,2500000,1500000,875000,750000,1.7142857142857142,2500000.0,98304,5000000,True,False,125000,0.5,0.08,60.0,80.0,200000,"{'compute_cost': 3000000.0, 'memory_cost': 65536, 'communication_cost': 125000}"
layer_24,DEPTHWISE_CONV_2D,1000000,600000,350000,300000,1.7142857142857142,1000000.0,49152,2000000,True,False,50000,0.5,0.075,60.0,80.0,75000,"{'compute_cost': 1200000.0, 'memory_cost': 32768, 'communication_cost': 50000}"
layer_25,CONV_2D,2500000,1500000,875000,750000,1.7142857142857142,2500000.0,98304,5000000,True,False,125000,0.5,0.08,60.0,80.0,200000,"{'compute_cost': 3000000.0, 'memory_cost': 65536, 'communication_cost': 125000}"
layer_26,DEPTHWISE_CONV_2D,1000000,600000,350000,300000,1.7142857142857142,1000000.0,49152,2000000,True,False,50000,0.5,0.075,60.0,80.0,75000,"{'compute_cost': 1200000.0, 'memory_cost': 32768, 'communication_cost': 50000}"
layer_27,CONV_2D,2500000,1500000,875000,750000,1.7142857142857142,2500000.0,98304,5000000,True,False,125000,0.5,0.08,60.0,80.0,200000,"{'compute_cost': 3000000.0, 'memory_cost': 65536, 'communication_cost': 125000}"
layer_28,PAD,25000,15000,8750,7500,1.7142857142857142,25000.0,1536,50000,True,False,1250,0.5,0.02,60.0,80.0,500,"{'compute_cost': 30000.0, 'memory_cost': 1024, 'communication_cost': 1250}"
layer_29,DEPTHWISE_CONV_2D,1000000,600000,350000,300000,1.7142857142857142,1000000.0,49152,2000000,True,False,50000,0.5,0.075,60.0,80.0,75000,"{'compute_cost': 1200000.0, 'memory_cost': 32768, 'communication_cost': 50000}"
layer_30,CONV_2D,2500000,1500000,875000,750000,1.7142857142857142,2500000.0,98304,5000000,True,False,125000,0.5,0.08,60.0,80.0,200000,"{'compute_cost': 3000000.0, 'memory_cost': 65536, 'communication_cost': 125000}"
layer_31,DEPTHWISE_CONV_2D,1000000,600000,350000,300000,1.7142857142857142,1000000.0,49152,2000000,True,False,50000,0.5,0.075,60.0,80.0,75000,"{'compute_cost': 1200000.0, 'memory_cost': 32768, 'communication_cost': 50000}"
layer_32,CONV_2D,2500000,1500000,875000,750000,1.7142857142857142,2500000.0,98304,5000000,True,False,125000,0.5,0.08,60.0,80.0,200000,"{'compute_cost': 3000000.0, 'memory_cost': 65536, 'communication_cost': 125000}"
layer_33,MEAN,50000,30000,17500,15000,1.7142857142857142,50000.0,3072,100000,True,False,2500,0.5,0.05,60.0,80.0,2500,"{'compute_cost': 60000.0, 'memory_cost': 2048, 'communication_cost': 2500}"
layer_34,RESHAPE,20000,12000,7000,6000,1.7142857142857142,20000.0,768,40000,True,False,1000,0.3,0.0125,60.0,80.0,250,"{'compute_cost': 24000.0, 'memory_cost': 512, 'communication_cost': 1000}"
layer_35,CONV_2D,2500000,1500000,875000,750000,1.7142857142857142,2500000.0,98304,5000000,True,False,125000,0.5,0.08,60.0,80.0,200000,"{'compute_cost': 3000000.0, 'memory_cost': 65536, 'communication_cost': 125000}"
layer_36,RESHAPE,20000,12000,7000,6000,1.7142857142857142,20000.0,768,40000,True,False,1000,0.3,0.0125,60.0,80.0,250,"{'compute_cost': 24000.0, 'memory_cost': 512, 'communication_cost': 1000}"
layer_37,SOFTMAX,250000,150000,87500,75000,1.7142857142857142,250000.0,12288,500000,True,False,12500,0.4,0.08,60.0,80.0,20000,"{'compute_cost': 300000.0, 'memory_cost': 8192, 'communication_cost': 12500}"
layer_38,DEQUANTIZE,60000,36000,21000,18000,1.7142857142857142,60000.0,3072,120000,True,False,3000,0.5,0.05,60.0,80.0,3000,"{'compute_cost': 72000.0, 'memory_cost': 2048, 'communication_cost': 3000}"
